repoLanguage,forkCount,stargazerCount,repoAge,state,deletions,additions,changedFiles,commentsTotalCount,commitsTotalCount,prExperience,isMember,authorComments,reviewersComments,reviewersTotalCount,bodyLength,prSize,reviewTime,purpose
TypeScript,7045,76149,2586.0229050925927,CLOSED,3,3,1,5,1,72,False,0,5,2,1228,6,0.050277777777777775,Document
TypeScript,2071,16638,1200.2286342592593,MERGED,98,91,2,4,3,4,False,2,2,1,4871,189,361.3536111111111,Document
TypeScript,7,6,597.985,MERGED,100,595,25,9,27,242,False,1,8,3,6756,695,479.1455555555556,Document
Go,2083,11768,1476.2928819444444,MERGED,56,107,4,0,1,838,True,0,0,0,4475,163,0.1111111111111111,Document
C++,2234,23693,2313.8087268518516,MERGED,70,57,3,1,32,269,False,1,0,0,2801,127,240.55388888888888,Bug
C,5529,39699,15.214374999999999,MERGED,2,89,1,12,3,6,False,7,5,3,2333,91,65.98944444444444,Bug
F#,153,337,2872.3346759259257,MERGED,1109,1813,21,1,10,21,False,0,1,1,14207,2922,467.1147222222222,Bug
PHP,822,6030,3016.7677199074074,CLOSED,10,167,4,0,2,136,True,0,0,0,3080,177,10.661944444444444,Bug
TypeScript,41369,87411,2895.508368055556,MERGED,0,20,1,0,5,548,True,0,0,0,2436,20,8.709722222222222,Document
TypeScript,2071,16638,1194.9722453703705,MERGED,40,146,9,1,3,0,False,1,0,0,6703,186,5.405833333333334,Bug
C#,7484,40424,2629.9962037037035,MERGED,0,18,2,1,3,622,True,0,1,1,3995,18,161.00833333333333,Document
Go,298,7579,514.2089236111111,CLOSED,2,5935,87,3,13,103,False,0,3,1,5775,5937,1055.3297222222222,Document
JavaScript,0,9,33.00868055555556,MERGED,9,15,7,1,2,2,False,0,1,1,3174,24,29.87527777777778,Document
TypeScript,41369,87411,2893.7422453703707,CLOSED,424,8825,231,10,545,3,True,5,5,2,6883,9249,698.7580555555555,Document
Python,4515,54977,879.9366203703704,MERGED,4,10,1,1,7,1,False,0,1,1,4793,14,692.5569444444444,Document
Python,968,6759,9.96224537037037,CLOSED,305,172,10,1,1,41,False,0,1,1,6619,477,338.62333333333333,Feature
C,5529,39699,18.24096064814815,CLOSED,23,121,4,33,6,8,False,11,22,8,7942,144,23.775833333333335,Bug
Python,19248,70257,2424.6897569444445,CLOSED,0,172,8,7,12,130,False,6,1,1,553,172,1365.7419444444445,Document
Python,19248,70257,2428.378946759259,CLOSED,48742,171943,2295,14,1305,2,False,8,6,2,722,220685,3116.936388888889,Document
